家賃(万円/月),平均単価(円/h),稼働率(%),月予約時間h,月売上,月営業利益,初期投資(取得費を家賃連動),回収月数(初月からこの状態の単純計算),損益分岐稼働率
10,2500,40,204.0,510000,135500,1292857,10,20.7%
10,2500,45,229.5,573750,170562,1292857,8,20.7%
10,2500,50,255.0,637500,205625,1292857,7,20.7%
10,2500,55,280.5,701250,240688,1292857,6,20.7%
10,2500,60,306.0,765000,275750,1292857,5,20.7%
10,2750,10,51.0,140250,-65950,1292857,回収不可,18.3%
10,2750,15,76.5,210375,-26425,1292857,回収不可,18.3%
10,2750,20,102.0,280500,13100,1292857,99,18.3%
10,2750,25,127.5,350625,52625,1292857,25,18.3%
10,2750,30,153.0,420750,92150,1292857,15,18.3%
10,2750,35,178.5,490875,131675,1292857,10,18.3%
10,2750,40,204.0,561000,171200,1292857,8,18.3%
10,2750,45,229.5,631125,210725,1292857,7,18.3%
10,2750,50,255.0,701250,250250,1292857,6,18.3%
10,2750,55,280.5,771375,289775,1292857,5,18.3%
10,2750,60,306.0,841500,329300,1292857,4,18.3%
10,3000,10,51.0,153000,-57025,1292857,回収不可,16.5%
10,3000,15,76.5,229500,-13038,1292857,回収不可,16.5%
10,3000,20,102.0,306000,30950,1292857,42,16.5%
10,3000,25,127.5,382500,74938,1292857,18,16.5%
10,3000,30,153.0,459000,118925,1292857,11,16.5%
10,3000,35,178.5,535500,162912,1292857,8,16.5%
10,3000,40,204.0,612000,206900,1292857,7,16.5%
10,3000,45,229.5,688500,250888,1292857,6,16.5%
10,3000,50,255.0,765000,294875,1292857,5,16.5%
10,3000,55,280.5,841500,338862,1292857,4,16.5%
10,3000,60,306.0,918000,382850,1292857,4,16.5%
10,3250,10,51.0,165750,-48100,1292857,回収不可,15.0%
10,3250,15,76.5,248625,350,1292857,3694,15.0%
10,3250,20,102.0,331500,48800,1292857,27,15.0%
10,3250,25,127.5,414375,97250,1292857,14,15.0%
10,3250,30,153.0,497250,145700,1292857,9,15.0%
10,3250,35,178.5,580125,194150,1292857,7,15.0%
10,3250,40,204.0,663000,242600,1292857,6,15.0%
10,3250,45,229.5,745875,291050,1292857,5,15.0%
10,3250,50,255.0,828750,339500,1292857,4,15.0%
10,3250,55,280.5,911625,387950,1292857,4,15.0%
10,3250,60,306.0,994500,436400,1292857,3,15.0%
10,3500,10,51.0,178500,-39175,1292857,回収不可,13.7%
10,3500,15,76.5,267750,13738,1292857,95,13.7%
10,3500,20,102.0,357000,66650,1292857,20,13.7%
10,3500,25,127.5,446250,119562,1292857,11,13.7%
10,3500,30,153.0,535500,172475,1292857,8,13.7%
10,3500,35,178.5,624750,225388,1292857,6,13.7%
10,3500,40,204.0,714000,278300,1292857,5,13.7%
10,3500,45,229.5,803250,331212,1292857,4,13.7%
10,3500,50,255.0,892500,384125,1292857,4,13.7%
10,3500,55,280.5,981750,437038,1292857,3,13.7%
10,3500,60,306.0,1071000,489950,1292857,3,13.7%
