家賃(万円),初期投資(取得費を家賃連動),12ヶ月目稼働率(ランプは目標と同じ形で比例),平均単価,清掃(円/回),12ヶ月累積営業損益,回収月,12ヶ月以内に回収
6,1035714,35%,2300,2000,406186,19,
6,1035714,35%,2400,1500,701269,15,
6,1035714,35%,2400,2000,511612,17,
6,1035714,35%,2500,1500,806695,14,
6,1035714,35%,2500,2000,617039,16,
6,1035714,35%,2600,1500,912122,13,
6,1035714,35%,2600,2000,722466,15,
6,1035714,35%,2700,1500,1017548,13,
6,1035714,35%,2700,2000,827892,14,
6,1035714,35%,2800,1500,1122975,12,OK
6,1035714,35%,2800,2000,933319,13,
6,1035714,35%,2900,1500,1228402,11,OK
6,1035714,35%,2900,2000,1038745,12,OK
6,1035714,35%,3000,1500,1333828,11,OK
6,1035714,35%,3000,2000,1144172,12,OK
6,1035714,35%,3100,1500,1439255,11,OK
6,1035714,35%,3100,2000,1249598,11,OK
6,1035714,40%,2200,1500,740475,15,
6,1035714,40%,2200,2000,523725,17,
6,1035714,40%,2300,1500,860962,14,
6,1035714,40%,2300,2000,644212,16,
6,1035714,40%,2400,1500,981450,13,
6,1035714,40%,2400,2000,764700,14,
6,1035714,40%,2500,1500,1101938,12,OK
6,1035714,40%,2500,2000,885188,14,
6,1035714,40%,2600,1500,1222425,12,OK
6,1035714,40%,2600,2000,1005675,13,
6,1035714,40%,2700,1500,1342912,11,OK
6,1035714,40%,2700,2000,1126162,12,OK
6,1035714,40%,2800,1500,1463400,10,OK
6,1035714,40%,2800,2000,1246650,11,OK
6,1035714,40%,2900,1500,1583888,10,OK
6,1035714,40%,2900,2000,1367138,11,OK
6,1035714,40%,3000,1500,1704375,10,OK
6,1035714,40%,3000,2000,1487625,10,OK
6,1035714,40%,3100,1500,1824862,9,OK
6,1035714,40%,3100,2000,1608112,10,OK
6,1035714,45%,2200,1500,990534,13,
6,1035714,45%,2200,2000,746691,15,
6,1035714,45%,2300,1500,1126083,12,OK
6,1035714,45%,2300,2000,882239,14,
6,1035714,45%,2400,1500,1261631,11,OK
6,1035714,45%,2400,2000,1017788,13,
6,1035714,45%,2500,1500,1397180,11,OK
6,1035714,45%,2500,2000,1153336,12,OK
6,1035714,45%,2600,1500,1532728,10,OK
6,1035714,45%,2600,2000,1288884,11,OK
6,1035714,45%,2700,1500,1668277,10,OK
6,1035714,45%,2700,2000,1424433,11,OK
6,1035714,45%,2800,1500,1803825,9,OK
6,1035714,45%,2800,2000,1559981,10,OK
6,1035714,45%,2900,1500,1939373,9,OK
6,1035714,45%,2900,2000,1695530,10,OK
6,1035714,45%,3000,1500,2074922,9,OK
6,1035714,45%,3000,2000,1831078,9,OK
6,1035714,45%,3100,1500,2210470,8,OK
6,1035714,45%,3100,2000,1966627,9,OK
6,1035714,50%,2200,1500,1240594,11,OK
6,1035714,50%,2200,2000,969656,13,
6,1035714,50%,2300,1500,1391203,11,OK
6,1035714,50%,2300,2000,1120266,12,OK
6,1035714,50%,2400,1500,1541812,10,OK
6,1035714,50%,2400,2000,1270875,11,OK
6,1035714,50%,2500,1500,1692422,10,OK
6,1035714,50%,2500,2000,1421484,11,OK
6,1035714,50%,2600,1500,1843031,9,OK
6,1035714,50%,2600,2000,1572094,10,OK
6,1035714,50%,2700,1500,1993641,9,OK
6,1035714,50%,2700,2000,1722703,10,OK
6,1035714,50%,2800,1500,2144250,8,OK
6,1035714,50%,2800,2000,1873312,9,OK
6,1035714,50%,2900,1500,2294859,8,OK
6,1035714,50%,2900,2000,2023922,9,OK
6,1035714,50%,3000,1500,2445469,8,OK
