シナリオ,月(開業後),フェーズ,稼働率(510h分母),予約時間h,予約件数(4h/件),割引率,平均単価(定価ベース),売上,ポータル手数料,手取り売上,清掃費,家賃,その他固定費,営業損益,累積営業損益,回収残(累積-110万),回収月,運転資金残高(70万+累積),資金ライン35万割れ
立ち上げ遅れ,7,P5安定化,26.7%,136.0,34.0,0%,2400,326400,-97920,228480,-68000,-70000,-45000,45480,-47820,-1147820,,652180,
立ち上げ遅れ,8,P5安定化,28.3%,144.5,36.1,0%,2400,346800,-104040,242760,-72250,-70000,-45000,55510,7690,-1092310,,707690,
立ち上げ遅れ,9,P5安定化,30.0%,153.0,38.2,0%,2400,367200,-110160,257040,-76500,-70000,-45000,65540,73230,-1026770,,773230,
立ち上げ遅れ,10,P5安定化,31.7%,161.5,40.4,0%,2400,387600,-116280,271320,-80750,-70000,-45000,75570,148800,-951200,,848800,
立ち上げ遅れ,11,P5安定化,33.3%,170.0,42.5,0%,2400,408000,-122400,285600,-85000,-70000,-45000,85600,234400,-865600,,934400,
立ち上げ遅れ,12,P5安定化,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,330030,-769970,,1030030,
立ち上げ遅れ,13,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,425660,-674340,,1125660,
立ち上げ遅れ,14,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,521290,-578710,,1221290,
立ち上げ遅れ,15,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,616920,-483080,,1316920,
立ち上げ遅れ,16,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,712550,-387450,,1412550,
立ち上げ遅れ,17,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,808180,-291820,,1508180,
立ち上げ遅れ,18,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,903810,-196190,,1603810,
立ち上げ遅れ,19,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,999440,-100560,,1699440,
立ち上げ遅れ,20,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,1095070,-4930,,1795070,
立ち上げ遅れ,21,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,1190700,90700,回収,1890700,
立ち上げ遅れ,22,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,1286330,186330,,1986330,
立ち上げ遅れ,23,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,1381960,281960,,2081960,
立ち上げ遅れ,24,2年目,35.0%,178.5,44.6,0%,2400,428400,-128520,299880,-89250,-70000,-45000,95630,1477590,377590,,2177590,
